,error
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20960101-21001231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20960101-21001231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_historical_r1i1p1_CCCma-CanRCM4_r2_day_19500101-19501231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_historical_r1i1p1_CCCma-CanRCM4_r2_day_19500101-19501231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20710101-20751231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20710101-20751231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20410101-20451231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20410101-20451231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20260101-20301231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20260101-20301231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20560101-20601231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20560101-20601231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20910101-20951231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20910101-20951231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20110101-20151231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20110101-20151231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20210101-20251231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20210101-20251231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_historical_r1i1p1_CCCma-CanRCM4_r2_day_19710101-19751231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_historical_r1i1p1_CCCma-CanRCM4_r2_day_19710101-19751231.nc'
